               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091068,            0.054857,            0.013628,             0.61344,             0.26677,             0.31041,             0.15493,            0.062059,            0.046673,            0.010728,             0.07009,           0.0033234,           0.0033234
                   1,            0.074973,            0.045954,           0.0064544,             0.70814,             0.54468,             0.52475,             0.26387,            0.058104,            0.042347,           0.0071158,            0.039491,           0.0060576,           0.0060576
                   2,            0.069846,            0.044871,           0.0051854,             0.77592,             0.57228,             0.57856,             0.30999,            0.049997,            0.038378,           0.0049237,           0.0082916,           0.0081918,           0.0081918
                   3,            0.064427,            0.042198,           0.0042665,             0.63447,             0.59463,             0.60782,             0.38306,            0.045821,            0.036374,           0.0039351,              0.0073,              0.0073,              0.0073
                   4,             0.06071,            0.040654,           0.0037185,             0.65019,             0.60968,             0.62431,             0.40737,            0.044351,             0.03494,            0.003496,              0.0073,              0.0073,              0.0073
                   5,            0.057735,            0.038999,           0.0033453,             0.64483,             0.62682,             0.63861,             0.43693,            0.040719,            0.033851,           0.0032391,              0.0064,              0.0064,              0.0064
                   6,            0.055877,            0.037391,           0.0030582,             0.67662,             0.62896,             0.64239,             0.43704,            0.039329,            0.031763,           0.0030236,              0.0055,              0.0055,              0.0055
                   7,            0.054203,            0.037765,           0.0028515,              0.6705,             0.63518,              0.6482,             0.44117,             0.03849,            0.031276,           0.0028323,              0.0046,              0.0046,              0.0046
                   8,            0.052733,            0.036228,           0.0027263,             0.70377,             0.65031,             0.65692,             0.46131,            0.037666,            0.030183,           0.0026772,              0.0037,              0.0037,              0.0037
                   9,             0.05061,            0.034756,            0.002542,             0.75495,             0.64665,             0.65883,              0.4693,             0.03684,            0.029081,           0.0025035,              0.0028,              0.0028,              0.0028
