               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092249,            0.055978,            0.013652,              0.6458,             0.24501,             0.31652,             0.14086,             0.06659,            0.048483,            0.011948,            0.070088,           0.0033235,           0.0033235
                   1,            0.076037,            0.049308,           0.0062171,              0.6534,             0.55118,              0.5071,             0.24991,             0.05746,            0.043528,           0.0076503,            0.039789,           0.0063573,           0.0063573
                   2,            0.071093,            0.045954,           0.0049925,             0.73635,             0.56394,             0.56143,             0.31303,            0.049781,            0.041092,            0.004326,           0.0091894,           0.0090911,           0.0090911
                   3,            0.065236,            0.044171,           0.0041206,             0.83583,             0.59593,             0.60753,             0.38663,             0.04413,            0.038257,           0.0035941,             0.00865,             0.00865,             0.00865
                   4,            0.061849,            0.042933,           0.0035601,             0.65796,             0.59929,             0.61788,             0.39147,             0.04317,            0.036646,            0.003078,             0.00865,             0.00865,             0.00865
                   5,            0.059363,            0.041112,           0.0032558,             0.64907,             0.60943,             0.62554,             0.41803,            0.040594,            0.034997,           0.0028121,              0.0082,              0.0082,              0.0082
                   6,            0.058705,            0.040924,           0.0029857,             0.71092,             0.61609,             0.63848,             0.43787,            0.039836,            0.034588,           0.0027499,             0.00775,             0.00775,             0.00775
                   7,             0.05673,            0.039963,           0.0028356,             0.68308,             0.61651,             0.63625,             0.43449,            0.038947,            0.033342,           0.0025414,              0.0073,              0.0073,              0.0073
                   8,             0.05549,            0.038881,           0.0026785,             0.80387,             0.63687,             0.65208,             0.45095,            0.037738,            0.033071,           0.0025295,             0.00685,             0.00685,             0.00685
                   9,            0.053931,            0.038089,           0.0026072,             0.75903,             0.63866,             0.65611,             0.45973,            0.036996,            0.032289,           0.0023267,              0.0064,              0.0064,              0.0064
                  10,            0.053758,            0.038259,           0.0025127,             0.75452,             0.64212,             0.65929,             0.46324,            0.036429,            0.031078,           0.0022107,             0.00595,             0.00595,             0.00595
                  11,            0.052437,            0.037045,           0.0024432,             0.74897,             0.64483,             0.66299,             0.47201,            0.035645,            0.030647,           0.0021561,              0.0055,              0.0055,              0.0055
                  12,            0.051452,            0.035928,           0.0022749,             0.79462,             0.64973,             0.66989,             0.47813,            0.035203,            0.029972,           0.0021175,             0.00505,             0.00505,             0.00505
                  13,            0.051879,             0.03626,           0.0022746,             0.77798,             0.65228,             0.67328,             0.48298,            0.034813,            0.029593,           0.0020263,              0.0046,              0.0046,              0.0046
                  14,             0.05035,            0.034748,           0.0021591,             0.77686,             0.65674,             0.67851,              0.4896,            0.034396,            0.028987,           0.0019944,             0.00415,             0.00415,             0.00415
                  15,            0.050142,            0.034087,           0.0021149,             0.77237,             0.66038,             0.68126,             0.49603,            0.034009,            0.028654,           0.0019263,              0.0037,              0.0037,              0.0037
                  16,            0.048954,            0.034143,           0.0020415,             0.77651,             0.66661,             0.68293,             0.49833,            0.033752,            0.028402,           0.0018669,             0.00325,             0.00325,             0.00325
                  17,            0.048833,            0.033748,           0.0020098,             0.78547,             0.67292,             0.68851,             0.50523,            0.033178,            0.027395,             0.00182,              0.0028,              0.0028,              0.0028
                  18,            0.048697,            0.033218,           0.0020083,               0.777,             0.66772,             0.68856,              0.5055,            0.033013,            0.027168,           0.0017854,             0.00235,             0.00235,             0.00235
                  19,            0.047897,            0.032263,           0.0019117,             0.78251,             0.67146,             0.69195,             0.50861,             0.03291,            0.026822,            0.001748,              0.0019,              0.0019,              0.0019
